epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,447.677,1.10655,0.6284,1.47845,0.99578,1,0.995,0.69057,1.06778,0.53509,1.43943,0.000396246,0.000396246,0.000396246
79,452.33,1.2024,0.62479,1.39751,0.99452,1,0.995,0.74538,0.95252,0.49208,1.3781,0.000379743,0.000379743,0.000379743
80,457.953,1.06333,0.57899,1.34041,0.99267,1,0.995,0.7243,0.99726,0.52291,1.4335,0.000363239,0.000363239,0.000363239
81,462.507,1.10181,0.58917,1.37007,0.99297,1,0.995,0.74021,0.93761,0.49983,1.38293,0.000346736,0.000346736,0.000346736
82,466.857,0.99817,0.54491,1.25542,0.99442,1,0.995,0.72319,0.98492,0.48152,1.39695,0.000330233,0.000330233,0.000330233
83,474.185,1.09616,0.58272,1.42915,0.99444,1,0.995,0.70889,1.04386,0.51538,1.44435,0.000313729,0.000313729,0.000313729
84,479.102,1.04656,0.54583,1.27772,0.99308,1,0.995,0.73197,1.0048,0.50948,1.43143,0.000297226,0.000297226,0.000297226
85,483.399,1.06335,0.56488,1.37826,0.99283,1,0.995,0.72915,1.01635,0.51016,1.43469,0.000280723,0.000280723,0.000280723
86,488.035,1.05221,0.55774,1.32507,0.99299,1,0.995,0.73291,1.01753,0.50018,1.42118,0.00026422,0.00026422,0.00026422
87,493.571,1.07171,0.58403,1.3659,0.994,1,0.995,0.73839,0.97951,0.47559,1.39547,0.000247716,0.000247716,0.000247716
88,498.269,1.06768,0.54764,1.3014,0.99645,1,0.995,0.74428,0.94955,0.46057,1.39366,0.000231213,0.000231213,0.000231213
89,502.585,1.01669,0.5466,1.33252,0.99677,1,0.995,0.76401,0.94838,0.46763,1.40538,0.00021471,0.00021471,0.00021471
90,508.57,1.04981,0.54674,1.27875,0.99599,1,0.995,0.76105,0.92299,0.45762,1.38812,0.000198206,0.000198206,0.000198206
91,515.587,1.23679,0.66457,1.60693,0.99562,1,0.995,0.7505,0.92543,0.46363,1.38186,0.000181703,0.000181703,0.000181703
92,520.143,1.13225,0.59544,1.49153,0.99546,1,0.995,0.70692,1.09765,0.52947,1.46489,0.0001652,0.0001652,0.0001652
93,524.856,1.04377,0.56407,1.46074,0.99647,1,0.995,0.64528,1.27031,0.56695,1.57337,0.000148696,0.000148696,0.000148696
94,530.277,1.13724,0.60172,1.48153,0.99702,1,0.995,0.62484,1.33736,0.56375,1.63532,0.000132193,0.000132193,0.000132193
95,534.931,1.12635,0.59997,1.43137,0.99721,1,0.995,0.64374,1.24459,0.536,1.57441,0.00011569,0.00011569,0.00011569
96,539.62,1.02501,0.5503,1.47528,0.99696,1,0.995,0.73305,1.00871,0.464,1.41599,9.91865e-05,9.91865e-05,9.91865e-05
97,544.55,1.0125,0.54748,1.43893,0.99695,1,0.995,0.74579,0.95359,0.45016,1.37917,8.26832e-05,8.26832e-05,8.26832e-05
98,550.269,1.00515,0.5347,1.3712,0.99714,1,0.995,0.76252,0.92011,0.44166,1.35842,6.61799e-05,6.61799e-05,6.61799e-05
99,554.94,1.00893,0.55946,1.41607,0.99716,1,0.995,0.76272,0.91902,0.43951,1.35807,4.96766e-05,4.96766e-05,4.96766e-05
100,560.532,1.00626,0.52384,1.34693,0.99716,1,0.995,0.7578,0.91808,0.44007,1.35708,3.31733e-05,3.31733e-05,3.31733e-05
