epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,424.656,0.27775,0.21562,0.80605,0.99752,1,0.995,0.98975,0.17944,0.1681,0.77643,0.000709809,0.000709809,0.000709809
60,429.558,0.27898,0.21472,0.81743,0.99745,1,0.995,0.98514,0.20572,0.18134,0.778,0.000693305,0.000693305,0.000693305
61,434.063,0.25002,0.20181,0.80591,0.99898,1,0.995,0.995,0.18566,0.17402,0.77438,0.000676802,0.000676802,0.000676802
62,440.381,0.27217,0.2114,0.80904,0.99903,1,0.995,0.995,0.1641,0.16162,0.77215,0.000660299,0.000660299,0.000660299
63,452.191,0.2688,0.20962,0.80377,1,1,0.995,0.995,0.20653,0.17828,0.77878,0.000643795,0.000643795,0.000643795
64,462.634,0.26935,0.20982,0.79776,1,1,0.995,0.99413,0.17384,0.18112,0.77384,0.000627292,0.000627292,0.000627292
65,467.666,0.27092,0.20375,0.8134,1,1,0.995,0.99065,0.17563,0.17943,0.77249,0.000610789,0.000610789,0.000610789
66,473.15,0.25396,0.20484,0.81698,1,1,0.995,0.99413,0.17396,0.16725,0.77319,0.000594286,0.000594286,0.000594286
67,483.335,0.22638,0.18965,0.79455,0.99904,1,0.995,0.995,0.17877,0.17419,0.77442,0.000577782,0.000577782,0.000577782
68,489.537,0.25195,0.20207,0.80786,0.99904,1,0.995,0.99066,0.1785,0.1642,0.77477,0.000561279,0.000561279,0.000561279
69,495.238,0.24119,0.19658,0.79901,0.99902,1,0.995,0.99397,0.16344,0.15107,0.7717,0.000544776,0.000544776,0.000544776
70,500.163,0.22665,0.1859,0.78695,0.99905,1,0.995,0.99418,0.19876,0.16447,0.77462,0.000528272,0.000528272,0.000528272
71,504.809,0.25238,0.19782,0.80677,0.99904,1,0.995,0.99002,0.18767,0.16777,0.77275,0.000511769,0.000511769,0.000511769
72,510.573,0.2346,0.19499,0.80044,0.99906,1,0.995,0.995,0.14259,0.1427,0.76891,0.000495266,0.000495266,0.000495266
73,521.837,0.23695,0.1855,0.80205,0.99906,1,0.995,0.99281,0.14752,0.14391,0.76931,0.000478762,0.000478762,0.000478762
74,527.334,0.23462,0.18522,0.78897,0.99904,1,0.995,0.98938,0.19517,0.16081,0.77452,0.000462259,0.000462259,0.000462259
75,532.316,0.23404,0.18658,0.79676,0.99899,1,0.995,0.99126,0.17071,0.15848,0.77163,0.000445756,0.000445756,0.000445756
76,541.427,0.2424,0.19332,0.8045,0.99902,1,0.995,0.99354,0.14427,0.14499,0.7678,0.000429253,0.000429253,0.000429253
77,546.878,0.22028,0.17756,0.7877,0.99904,1,0.995,0.995,0.14821,0.14776,0.76878,0.000412749,0.000412749,0.000412749
78,556.781,0.25312,0.19612,0.83599,0.99904,1,0.995,0.995,0.14228,0.13995,0.76732,0.000396246,0.000396246,0.000396246
79,562.373,0.24158,0.18456,0.80649,0.99903,1,0.995,0.99383,0.1399,0.14311,0.76676,0.000379743,0.000379743,0.000379743
80,572.34,0.23334,0.18695,0.80517,0.99903,1,0.995,0.99413,0.17139,0.14653,0.77051,0.000363239,0.000363239,0.000363239
81,581.972,0.2068,0.17368,0.79872,0.99904,1,0.995,0.99413,0.17606,0.14675,0.77262,0.000346736,0.000346736,0.000346736
82,586.592,0.22248,0.17435,0.79994,0.99903,1,0.995,0.99425,0.154,0.1365,0.77059,0.000330233,0.000330233,0.000330233
83,591.718,0.22648,0.17519,0.80808,1,1,0.995,0.995,0.14377,0.13684,0.76848,0.000313729,0.000313729,0.000313729
84,601.972,0.23591,0.17816,0.79101,1,1,0.995,0.99428,0.16444,0.14532,0.77017,0.000297226,0.000297226,0.000297226
85,607.439,0.23324,0.17694,0.82156,1,1,0.995,0.99312,0.16104,0.13994,0.76948,0.000280723,0.000280723,0.000280723
86,617.251,0.2198,0.16739,0.79834,1,1,0.995,0.99413,0.15377,0.13122,0.76851,0.00026422,0.00026422,0.00026422
87,622.007,0.22686,0.1795,0.80541,1,1,0.995,0.99413,0.14615,0.13263,0.76776,0.000247716,0.000247716,0.000247716
88,627.343,0.21753,0.1701,0.80346,1,1,0.995,0.995,0.13899,0.12908,0.76678,0.000231213,0.000231213,0.000231213
89,637.004,0.22805,0.16985,0.80159,1,1,0.995,0.995,0.13617,0.12906,0.7664,0.00021471,0.00021471,0.00021471
90,642.932,0.23171,0.1716,0.79413,1,1,0.995,0.995,0.14476,0.12735,0.76772,0.000198206,0.000198206,0.000198206
91,656.082,0.18383,0.15549,0.78132,1,1,0.995,0.99421,0.15036,0.12874,0.76856,0.000181703,0.000181703,0.000181703
92,666.169,0.19954,0.15578,0.79576,1,1,0.995,0.995,0.14812,0.12951,0.76843,0.0001652,0.0001652,0.0001652
93,672.208,0.17707,0.1564,0.79759,1,1,0.995,0.995,0.14161,0.12917,0.768,0.000148696,0.000148696,0.000148696
94,681.845,0.18109,0.14911,0.7719,1,1,0.995,0.995,0.13095,0.11858,0.76689,0.000132193,0.000132193,0.000132193
95,692.299,0.16746,0.1417,0.77019,1,1,0.995,0.995,0.13213,0.12196,0.76683,0.00011569,0.00011569,0.00011569
96,703.974,0.18771,0.1475,0.7944,1,1,0.995,0.995,0.13653,0.12283,0.768,9.91865e-05,9.91865e-05,9.91865e-05
97,714.039,0.18347,0.1449,0.77334,1,1,0.995,0.995,0.14002,0.1234,0.76914,8.26832e-05,8.26832e-05,8.26832e-05
98,729.878,0.16821,0.14005,0.78936,1,1,0.995,0.99393,0.13839,0.11697,0.76882,6.61799e-05,6.61799e-05,6.61799e-05
99,739.604,0.16619,0.13583,0.76925,0.99906,1,0.995,0.99276,0.13793,0.11533,0.76838,4.96766e-05,4.96766e-05,4.96766e-05
100,749.853,0.18032,0.14655,0.78964,0.99906,1,0.995,0.99276,0.13544,0.11758,0.76728,3.31733e-05,3.31733e-05,3.31733e-05
