                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2328,                0.77068,                 1.5246,                0.99535,                      1,                  0.995,                 0.7226,                0.96906,                0.57933,                 1.4339,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0974,                 0.7043,                 1.4003,                0.99651,                      1,                  0.995,                0.76155,                0.93287,                0.59704,                 1.3754,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.0787,                0.69415,                 1.3652,                0.99567,                      1,                  0.995,                0.75915,                0.92361,                0.54966,                 1.3535,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1686,                0.74651,                 1.5237,                0.99663,                      1,                  0.995,                0.68777,                 1.1289,                0.67303,                  1.508,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1554,                0.71619,                 1.4016,                0.99602,                      1,                  0.995,                0.68849,                 1.0831,                0.59792,                  1.498,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1231,                  0.684,                 1.3944,                0.98617,                      1,                  0.995,                0.72644,                   1.03,                0.64546,                 1.4531,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1316,                0.68751,                 1.3952,                0.98974,                      1,                  0.995,                0.75523,                0.92612,                0.59832,                 1.3864,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1151,                0.65372,                 1.3764,                0.99754,                      1,                  0.995,                0.76114,                0.93192,                0.51034,                 1.3708,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0623,                0.65374,                 1.3263,                0.99621,                      1,                  0.995,                0.75223,                0.94659,                0.51334,                 1.3775,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0583,                0.61637,                 1.3232,                0.98601,                      1,                  0.995,                0.66503,                 1.1863,                0.66229,                 1.5526,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0457,                0.63589,                 1.2985,                0.99202,                      1,                  0.995,                0.69528,                  1.137,                0.60553,                 1.4973,             0.00061079,             0.00061079,             0.00061079
